53183,7120001061675,71,0,2018-10-16,2018-10-01,株式会社ヤマダホームズ,,301,群馬県,高崎市,栄町１番１号,,10,202,3700841,,,,,,平成３０年１０月１日群馬県高崎市栄町１番１号株式会社ヤマダ・ウッドハウス（4070001028864）を合併平成３０年１０月１日大阪府茨木市大池二丁目１７番２４号ハウジングワークス株式会社（2120901017467）を合併平成３０年１０月１日茨城県つくば市緑ケ原二丁目２番エス・バイ・エル住工株式会社（4050001016953）を合併,2015-10-05,1,,,,,ヤマダホームズ,0
175267,7120001062574,12,0,2019-07-10,2019-07-03,ネセサリーコム株式会社,,301,埼玉県,さいたま市大宮区,吉敷町１丁目１３３番地１ワンライトビル５階,,11,103,3300843,,,,,,,2015-10-05,1,,,,,ネセサリーコム,0
86920,4120001060341,01,1,2018-05-10,2015-10-05,株式会社アバンス,,301,千葉県,木更津市,富士見１丁目２番１号アクア木更津内Ｂ棟地下１階,,12,206,2920831,,,,,,,2015-10-05,1,,,,,アバンス,0
195859,9120001066747,12,0,2020-02-18,2020-02-12,タカラ産業株式会社,,301,千葉県,銚子市,和田町３番地３－２０４号,,12,202,2880066,,,,,,,2015-10-05,1,,,,,タカラサンギョウ,0
120167,1120001061747,12,0,2019-08-19,2019-08-02,エヌ・エス・アイ株式会社,,301,東京都,港区,三田３丁目１番３号Ｍ・Ｋビル５階,,13,103,1080073,,,,,,,2015-10-05,1,,,,,エヌエスアイ,0
120168,1120001065731,01,1,2018-11-15,2015-10-05,新西興産株式会社,,301,東京都,新宿区,新宿３丁目２１番１号,,13,104,1600022,,,,,,,2015-10-05,1,,,,,シンセイコウサン,0
120169,1120001067281,12,0,2016-10-27,2016-10-24,株式会社デヴューエンタープライズ,,301,東京都,港区,赤坂７丁目５番６号ライオンズマンション赤坂２０７,,13,103,1070052,,,,,,,2015-10-05,1,,,,,,0
241308,2120001060806,01,1,2018-07-05,2015-10-05,株式会社ＦＥＬ,,301,東京都,品川区,東五反田２丁目７番１８号,,13,109,1410022,,,,,,,2015-10-05,1,,,,,エフイーエル,0
362194,3120001061217,01,0,2015-10-28,2015-10-05,株式会社エイチアイジェイ,,301,東京都,渋谷区,千駄ヶ谷４丁目３番１－５０１号,,13,113,1510051,,,,,,,2015-10-05,1,,,,,,0
362195,3120001063205,12,0,2019-04-24,2019-04-17,株式会社Ｍａｌａｍａ　ｐｒｅｓｅｎｔｓ,,301,東京都,大田区,南馬込６丁目９番８号,,13,111,1430025,,,,,,,2015-10-05,1,,,,,マラマプレゼンツ,0
