89,1011001070930,01,0,2015-10-30,2015-10-05,株式会社札幌メディカルリサーチ,,301,北海道,札幌市中央区,南一条東１丁目５番大通バスセンタービル１号館,,01,101,0600051,,,,,,,2015-10-05,1,,,,,,0
90,1011001073719,01,0,2015-10-30,2015-10-05,株式会社コモス,,301,北海道,石狩郡当別町,蕨岱６８２２番地１０２号,,01,303,0610214,,,,,,,2015-10-05,1,,,,,,0
22865,2011001073148,01,1,2018-04-16,2015-10-05,株式会社エミシ,,301,北海道,札幌市中央区,大通西１７丁目１番１４号旭堂第２ビル３階,,01,101,0600042,,,,,,,2015-10-05,1,,,,,エミシ,0
45638,3011001070292,12,1,2018-05-11,2018-05-07,株式会社アバンギャルド,,301,北海道,札幌市西区,山の手二条１丁目２番１５－２０３号,,01,107,0630002,,,,,,,2015-10-05,1,,,,,アバンギャルド,0
68425,4011001070234,21,0,2020-02-20,2020-02-17,株式会社ＡＭＰＬＥ,,301,北海道,札幌市中央区,南一条西１６丁目１番地３２３春野ビル３Ｆ,,01,101,0600061,,,2020-02-17,01,,,2015-10-05,1,,,,,アンプル,0
91148,5011001071603,12,0,2017-01-31,2017-01-25,株式会社ｚｅｎｉｔｈｇｅａｒ,,301,北海道,札幌市北区,北二十七条西１１丁目５番７号,,01,102,0010027,,,,,,,2015-10-05,1,,,,,,0
113952,6011001073490,12,1,2019-11-08,2016-09-08,株式会社ディーアライブ,,301,北海道,札幌市中央区,南三条西３丁目１５番地,,01,101,0600063,,,,,,,2015-10-05,1,,,,,ディーアライブ,0
159622,8011001070321,12,0,2018-03-28,2018-03-23,株式会社ＮＤＦ,,301,北海道,札幌市清田区,里塚三条３丁目３,,01,110,0040803,,,,,,,2015-10-05,1,,,,,,0
19506,6011001073318,12,0,2019-12-11,2019-12-03,フォルテ日本バッテリー株式会社,,301,青森県,青森市,古川３丁目２２番３号古川ビル３階,,02,201,0300862,,,,,,,2015-10-05,1,,,,,フォルテニホンバッテリー,0
27475,9011001072630,01,1,2018-10-29,2015-10-05,株式会社ｎｏｒｔｈ　ｐｒｏｄｕｃｔｉｏｎ,,301,岩手県,遠野市,穀町１番１７号,,03,208,0280516,,,,,,,2015-10-05,1,,,,,ノースプロダクション,0
8167,2011001072471,12,0,2020-03-04,2020-02-28,株式会社やまとなでしこ応援団,,301,宮城県,大崎市,古川下中目字町浦２８－１,,04,215,9896123,,,,,,,2015-10-05,1,,,,,ヤマトナデシコオウエンダン,0
17376,6011001072121,01,1,2019-12-12,2015-10-05,株式会社ｆａｂｒｉｃｃａ,,301,山形県,山形市,五十鈴２丁目１１番１８－３号,,06,201,9900061,,,,,,,2015-10-05,1,,,,,ファブリッカ,0
22238,4011001072668,12,1,2019-10-29,2016-01-06,株式会社ガイア・プロジェクト,,301,福島県,須賀川市,大町４４２番地３,,07,207,9620839,,,,,,,2015-10-05,1,,,,,ガイアプロジェクト,0
29601,5011001070118,01,0,2015-10-30,2015-10-05,福島新都市開発株式会社,,301,福島県,いわき市,平字白銀町６番地の３,,07,204,9708026,,,,,,,2015-10-05,1,,,,,,0
51874,8011001071154,12,0,2019-07-12,2019-07-09,株式会社スイッチ・オン・ライフ,,301,福島県,郡山市,安積町笹川字南向８番地の５６,,07,203,9630102,,,,,,,2015-10-05,1,,,,,スイッチオンライフ,0
65,1011001073438,12,0,2016-07-19,2016-07-11,株式会社ｃｏｄｅ　ｒｅ,,301,茨城県,つくば市,研究学園１丁目２番地１５,,08,220,3050817,,,,,,,2015-10-05,1,,,,,,0
66,1011001073792,21,0,2017-08-22,2017-08-15,株式会社ＷＩＮＧ　ＧＩＭＴＥＣ,,301,茨城県,ひたちなか市,大字堀口字中原６９３番地２向町コーポ１０２号室,,08,221,3120034,,,2017-08-15,01,,,2015-10-05,1,,,,,,0
18380,3011001070516,12,0,2017-11-15,2017-11-10,株式会社零工房,,301,茨城県,鉾田市,大竹１４７０番地１２,,08,234,3111513,,,,,,,2015-10-05,1,,,,,,0
27631,4011001070928,01,1,2019-03-27,2015-10-05,株式会社ひのき,,301,茨城県,水戸市,南町３丁目３番４３号,,08,201,3100021,,,,,,,2015-10-05,1,,,,,ヒノキ,0
36917,5011001072114,12,0,2016-01-12,2016-01-06,株式会社Ｅｘｍｏｏｒ,,301,茨城県,ひたちなか市,大字馬渡２８６６番地の７７,,08,221,3120012,,,,,,,2015-10-05,1,,,,,,0
55240,7011001072236,12,0,2018-03-01,2018-02-27,株式会社Ｎｏｂｌｅｓｓｅ　Ｏｂｌｉｇｅ,,301,茨城県,筑西市,小川１５５６番地１２,,08,227,3080857,,,,,,,2015-10-05,1,,,,,,0
73579,9011001073769,12,0,2016-11-29,2016-11-16,株式会社ｓｅｖｅｎｇｒａｍ,,301,茨城県,日立市,塙山町１丁目２３番１１号,,08,202,3160011,,,,,,,2015-10-05,1,,,,,,0
37566,6011001073359,71,1,2019-03-08,2016-06-01,株式会社ティーピージー,,301,栃木県,栃木市,富士見町６番３３号,,09,203,3280044,,,,,,平成２８年６月１日東京都千代田区飯田橋四丁目４番１２号株式会社デジパーク（9011101030505）を合併,2015-10-05,1,,,,,ティーピージー,0
52567,8011001072994,12,0,2020-05-21,2020-05-14,株式会社ティワイエフ,,301,栃木県,小山市,駅南町４丁目４番４号,,09,208,3230822,,,,,,,2015-10-05,1,,,,,ティワイエフ,0
53256,8011001072193,01,0,2015-10-30,2015-10-05,株式会社城南システム,,301,群馬県,前橋市,江田町５５番地２Ｈ２ＯハイツＡ１,,10,201,3710836,,,,,,,2015-10-05,1,,,,,,0
290,1011001070138,01,1,2019-09-06,2015-10-05,株式会社キーソリューションズ,,301,埼玉県,所沢市,上新井４丁目６１番地の１,,11,208,3591142,,,,,,,2015-10-05,1,,,,,キーソリューションズ,0
291,1011001071301,12,0,2017-08-29,2017-08-25,エム・ケイ・コーポレーション株式会社,,301,埼玉県,ふじみ野市,上ノ原１丁目３番地１５,,11,245,3560021,,,,,,,2015-10-05,1,,,,,,0
292,1011001073149,12,0,2016-07-22,2016-07-15,マンションパートナーズ株式会社,,301,埼玉県,ふじみ野市,うれし野２丁目１３番９号,,11,245,3560056,,,,,,,2015-10-05,1,,,,,,0
293,1011001073405,12,0,2017-01-27,2017-01-25,株式会社ノベルスタンダード,,301,埼玉県,さいたま市南区,曲本１丁目１１番３－１号,,11,108,3360033,,,,,,,2015-10-05,1,,,,,,0
50522,3011001071381,01,0,2015-11-06,2015-10-05,株式会社ヨシノ,,301,埼玉県,所沢市,元町１８番１３号,,11,208,3591121,,,,,,,2015-10-05,1,,,,,,0
50523,3011001071828,01,0,2015-11-06,2015-10-05,株式会社伊藤屋,,301,埼玉県,東松山市,大字新郷５８６番地,,11,212,3550071,,,,,,,2015-10-05,1,,,,,,0
50524,3011001071992,01,0,2015-11-06,2015-10-05,株式会社はやぶさ出版,,301,埼玉県,蓮田市,西新宿１丁目７２番地グランハイム上島公園２０５号,,11,238,3490141,,,,,,,2015-10-05,1,,,,,,0
50525,3011001072875,12,0,2017-02-08,2017-02-03,チェリーサンバースト株式会社,,301,埼玉県,朝霞市,朝志ケ丘２丁目８番１２号,,11,227,3510035,,,,,,,2015-10-05,1,,,,,,0
75564,4011001070696,01,1,2018-05-15,2015-10-05,株式会社メイジエ,,301,埼玉県,三郷市,彦江１丁目５３番地７,,11,237,3410058,,,,,,,2015-10-05,1,,,,,メイジエ,0
75565,4011001072569,12,0,2019-07-24,2019-07-19,株式会社アゼリア,,301,埼玉県,川越市,芳野台２丁目８番８０,,11,201,3500833,,,,,,,2015-10-05,1,,,,,アゼリア,0
75566,4011001072759,12,1,2019-03-08,2019-02-28,三栄環境株式会社,,301,埼玉県,羽生市,東７丁目１７番地６,,11,216,3480052,,,,,,,2015-10-05,1,,,,,サンエイカンキョウ,0
100716,5011001070167,01,0,2015-11-06,2015-10-05,株式会社ｇｒｏｕｖ,,301,埼玉県,さいたま市桜区,田島３丁目８－１０－２０７号,,11,106,3380837,,,,,,,2015-10-05,1,,,,,,0
100717,5011001070919,12,0,2019-11-12,2019-11-05,株式会社バリューブレイン,,301,埼玉県,蓮田市,末広１丁目６番１７号,,11,238,3490124,,,,,,,2015-10-05,1,,,,,バリューブレイン,0
125536,6011001070769,12,0,2019-07-26,2019-07-23,株式会社ＩＢ　ＪＡＰＡＮ,,301,埼玉県,さいたま市大宮区,宮町３丁目３６番地１ガルボ大宮宮町１０３号,,11,103,3300802,,,,,,,2015-10-05,1,,,,,アイビージャパン,0
