1087532,9021002072372,21,0,2017-04-24,2017-04-14,ジー・ケィ・エクスポジションジャパン有限会社,,302,東京都,台東区,根岸３丁目１６番１５号,,13,106,1100003,,,2017-04-14,01,,,2015-10-05,1,,,,,,0
1087533,9021002072389,12,0,2019-06-14,2019-06-11,有限会社蔵工房設計事務所,,302,東京都,中央区,築地６丁目５番５－１２０２号,,13,102,1040045,,,,,,,2015-10-05,1,,,,,クラコウボウセッケイジムショ,0
1087534,9021002072406,12,0,2016-09-08,2016-09-05,アロメディカル有限会社,,302,東京都,町田市,南町田２丁目２６番１号ヒルズ町田弐番館４０１号,,13,209,1940005,,,,,,,2015-10-05,1,,,,,,0
32627,1021002070029,01,0,2015-11-06,2015-10-05,有限会社チャレンジ企画,,302,神奈川県,横須賀市,安浦町１丁目６番地５号ＮＫビル３０１,,14,201,2380012,,,,,,,2015-10-05,1,,,,,,0
32628,1021002070037,21,0,2017-02-02,2017-01-31,有限会社サンシャイン・パラダイス,,302,神奈川県,三浦郡葉山町,一色１２６２番地の２９,,14,301,2400111,,,2017-01-31,21,,,2015-10-05,1,,,,,,0
32629,1021002070045,01,0,2015-11-06,2015-10-05,住まいのウィッシュ有限会社,,302,神奈川県,横須賀市,公郷町３丁目９２番地２１,,14,201,2380022,,,,,,,2015-10-05,1,,,,,,0
32630,1021002070061,01,0,2015-11-06,2015-10-05,有限会社テクニカ,,302,神奈川県,逗子市,小坪１丁目１７番２１号,,14,208,2490008,,,,,,,2015-10-05,1,,,,,,0
32631,1021002070078,01,0,2015-11-06,2015-10-05,有限会社アベ・ジュウケン,,302,神奈川県,横須賀市,金谷１丁目３番２号,,14,201,2380034,,,,,,,2015-10-05,1,,,,,,0
32632,1021002070086,12,0,2016-11-22,2016-11-21,有限会社ブレイン,,302,神奈川県,茅ヶ崎市,共恵１丁目５番２号,,14,207,2530056,,,,,,,2015-10-05,1,,,,,,0
32633,1021002070094,01,0,2015-11-06,2015-10-05,有限会社時計工房,,302,神奈川県,三浦郡葉山町,長柄７０５番地の２８８,,14,301,2400113,,,,,,,2015-10-05,1,,,,,,0
32634,1021002070128,01,0,2015-11-06,2015-10-05,有限会社伊藝,,302,神奈川県,三浦郡葉山町,下山口１２５１番地の３,,14,301,2400116,,,,,,,2015-10-05,1,,,,,,0
32635,1021002070136,01,0,2015-11-06,2015-10-05,有限会社エイシン学院,,302,神奈川県,横須賀市,長沢１丁目２７番２７号,,14,201,2390842,,,,,,,2015-10-05,1,,,,,,0
32636,1021002070152,01,1,2019-04-22,2015-10-05,有限会社フィサリス,,302,神奈川県,横須賀市,ハイランド３丁目１３番１６号,,14,201,2390833,,,,,,,2015-10-05,1,,,,,フィサリス,0
32637,1021002070160,01,0,2015-11-06,2015-10-05,有限会社フェニックス企画,,302,神奈川県,横須賀市,若松町３丁目１２番,,14,201,2380007,,,,,,,2015-10-05,1,,,,,,0
32638,1021002070169,21,0,2018-11-20,2018-11-15,有限会社ＭＩＥ,,302,神奈川県,横須賀市,光風台２６番９号,,14,201,2390820,,,2018-11-15,01,,,2015-10-05,1,,,,,ミイ,0
32639,1021002070185,01,0,2015-11-06,2015-10-05,スポーツ・アクセス有限会社,,302,神奈川県,逗子市,沼間５丁目８４７番地の４３,,14,208,2490004,,,,,,,2015-10-05,1,,,,,,0
32640,1021002070193,01,0,2015-11-06,2015-10-05,有限会社和光管理,,302,神奈川県,横須賀市,阿部倉２９番１号,,14,201,2380033,,,,,,,2015-10-05,1,,,,,,0
32641,1021002070219,01,0,2015-11-06,2015-10-05,有限会社トラスティ,,302,神奈川県,三浦郡葉山町,堀内３５０番地,,14,301,2400112,,,,,,,2015-10-05,1,,,,,,0
32642,1021002070268,01,0,2015-11-06,2015-10-05,有限会社　青果二一,,302,神奈川県,横須賀市,湘南鷹取４丁目６番１０－１号,,14,201,2370066,,,,,,,2015-10-05,1,,,,,,0
32643,1021002070276,01,0,2015-11-06,2015-10-05,有限会社金光,,302,神奈川県,横須賀市,小原台１２番２３号,,14,201,2390812,,,,,,,2015-10-05,1,,,,,,0
32644,1021002070284,01,0,2015-11-06,2015-10-05,有限会社アカバネＣＯＭＰＡＮＹ,,302,神奈川県,横須賀市,長坂２丁目９番３６号赤羽ビル２Ｆ,,14,201,2400101,,,,,,,2015-10-05,1,,,,,,0
32645,1021002070292,01,1,2019-12-05,2015-10-05,有限会社克己冷熱工業,,302,神奈川県,横須賀市,武２丁目１０番８号,,14,201,2380313,,,,,,,2015-10-05,1,,,,,カツミレイネツコウギョウ,0
