113969,6011303001769,12,0,2019-08-15,2019-08-09,合同会社ＫＯＫＩ,,305,北海道,札幌市厚別区,大谷地東３丁目３番１号－１５０１,,01,108,0040041,,,,,,,2015-10-05,1,,,,,コーキ,0
60834,9011303001477,01,0,2015-10-30,2015-10-05,合同会社ｃｌａｓｓｉｃ　ｃｏｌｏｒ,,305,群馬県,高崎市,筑縄町７６番地８,,10,202,3700075,,,,,,,2015-10-05,1,,,,,,0
403,1011303001947,01,0,2015-11-06,2015-10-05,合同会社ソーラーパブリック,,305,埼玉県,朝霞市,岡３丁目２２番１８号,,11,227,3510007,,,,,,,2015-10-05,1,,,,,,0
404,1011303002292,12,0,2020-04-08,2020-04-02,東洋商事合同会社,,305,埼玉県,三郷市,鷹野５丁目３１１番地１,,11,237,3410035,,,,,,,2015-10-05,1,,,,,トウヨウショウジ,0
25575,2011303002028,12,0,2018-08-24,2018-08-22,ＢＯＮＤ　ｐｌｕｓ合同会社,,305,埼玉県,戸田市,本町４丁目４番６号ＴＢＣ,,11,224,3350023,,,,,,,2015-10-05,1,,,,,ボンドプラス,0
100829,5011303002017,12,0,2015-12-16,2015-12-11,合同会社Ｌｉｂｒｅ,,305,埼玉県,朝霞市,三原１丁目３２番５号,,11,227,3510025,,,,,,,2015-10-05,1,,,,,,0
125657,6011303000151,12,0,2015-10-28,2015-10-14,なみなみテクノロジー合資会社,,304,埼玉県,所沢市,緑町１丁目６番１６－３０３号,,11,208,3591111,,,,,,,2015-10-05,1,,,,,,0
150701,7011303001594,01,0,2015-11-06,2015-10-05,合同会社キープス,,305,埼玉県,新座市,新堀２丁目８番１４号,,11,230,3520032,,,,,,,2015-10-05,1,,,,,,0
150702,7011303002691,12,0,2018-12-20,2018-12-14,合同会社ＲＳ,,305,埼玉県,川口市,西川口６丁目８番４号飯島第三コーポテラスハウス,,11,203,3320021,,,,,,,2017-04-05,1,,,,,アールエス,0
175811,8011303001908,01,0,2015-11-06,2015-10-05,合同会社Ｄｚｙｎ,,305,埼玉県,川口市,江戸袋１丁目１３番２３号－３階,,11,203,3340075,,,,,,,2015-10-05,1,,,,,,0
175812,8011303002294,12,0,2018-12-07,2018-12-03,ＦＵＮ合同会社,,305,埼玉県,川越市,南台２丁目７－４１南台ベストビル１０１,,11,201,3501165,,,,,,,2015-10-05,1,,,,,ファン,0
200778,9011303000181,01,0,2015-11-06,2015-10-05,合資会社フィロタイムシステム,,304,埼玉県,鶴ヶ島市,大字三ツ木４１１番地１,,11,241,3502217,,,,,,,2015-10-05,1,,,,,,0
200779,9011303001485,12,0,2019-05-14,2019-05-09,合同会社ハイディヴィジョン,,305,埼玉県,さいたま市大宮区,土手町１丁目２０４番地,,11,103,3300801,,,,,,,2015-10-05,1,,,,,ハイディヴィジョン,0
200780,9011303001584,12,0,2018-04-12,2018-04-05,漫歩雲端合同会社,,305,埼玉県,川口市,本町３丁目６－１０,,11,203,3320012,,,,,,,2015-10-05,1,,,,,マンポウンタン,0
200781,9011303001923,12,0,2017-05-19,2017-05-15,バリューレジデンス合同会社,,305,埼玉県,川越市,かすみ野３丁目１８番地５,,11,201,3501174,,,,,,,2015-10-05,1,,,,,,0
200782,9011303002194,12,0,2015-10-28,2015-10-05,合同会社ストレッチ,,305,埼玉県,狭山市,大字北入曽９６番地の４,,11,215,3501315,,,,,,,2015-10-05,1,,,,,,0
200783,9011303002673,12,0,2017-03-27,2017-03-17,合同会社アースロー美容企画,,305,埼玉県,鴻巣市,吹上本町２丁目１７番２２号,,11,217,3690115,,,,,,,2017-03-15,1,,,,,,0
200784,9011303002871,12,0,2019-06-24,2019-06-18,合同会社Ｄｅｅｋｕｓ,,305,埼玉県,新座市,新堀３丁目１１番１４号ヴィーブル２０２号室,,11,230,3520032,,,,,,,2017-12-06,1,,,,,ディークス,0
44057,3011303001838,01,0,2015-11-06,2015-10-05,合同会社Ｒ・Ｅ・Ｃ,,305,千葉県,八街市,八街へ２１３－１,,12,230,2891113,,,,,,,2015-10-05,1,,,,,,0
